date,action,rule,trade_pct,btc_price,usdt_before,usdt_delta,usdt_after,btc_before,btc_delta,btc_fee,btc_after,nav,peak_nav,drawdown_pct,bear_pause,contrib_gross,contrib_net,perf_fee_paid,cum_gross_contrib,cagr_pct,,,
2023/03/21,BUY,Base4,20,28200.53,1.965,-0.393,1.572,3.70769192,0.00001392,0.00000001,3.70770585,104560.84,164199.24,36.3208,0,0,0,0,29500,48.1929,,,
2023/03/22,BUY,Base4,20,27351.07,1.572,-0.3144,1.2576,3.70770585,0.00001149,0.00000001,3.70771733,101411.29,164199.24,38.2389,0,0,0,0,29500,46.7427,,,
2023/03/23,BUY,Base4,20,28365.41,1.2576,-0.2515,1.0061,3.70771733,0.00000886,0.00000001,3.70772619,105172.18,164199.24,35.9484,0,0,0,0,29500,48.362,,,
2023/03/24,BUY,Base4,20,27508.98,1.0061,-0.2012,0.8048,3.70772619,0.00000731,0.00000001,3.7077335,101996.77,164199.24,37.8823,0,0,0,0,29500,46.9092,,,
2023/03/25,BUY,Base4,20,27522.86,0.8048,-0.161,0.6439,3.7077335,0.00000584,0,3.70773935,102048.23,164199.24,37.851,0,0,0,0,29500,46.8842,,,
2023/03/26,BUY,Base4,20,28018.32,0.6439,-0.1288,0.5151,3.70773935,0.00000459,0,3.70774394,103885.27,164199.24,36.7322,0,0,0,0,29500,47.6495,,,
2023/03/27,BUY,Base4,20,27176.12,0.5151,-0.103,0.4121,3.70774394,0.00000379,0,3.70774773,100762.61,164199.24,38.6339,0,0,0,0,29500,46.2142,,,
2023/03/28,BUY,Base4,20,27286.66,0.4121,-0.0824,0.3297,3.70774773,0.00000302,0,3.70775075,101172.46,164199.24,38.3843,0,0,0,0,29500,46.3507,,,
2023/03/29,BUY,Base4,20,28364.93,0.3297,-0.0659,0.2637,3.70775075,0.00000232,0,3.70775307,105170.42,164199.24,35.9495,0,0,0,0,29500,48.0647,,,
2023/03/30,BUY,Base4,20,28063.44,0.2637,-0.0527,0.211,3.70775307,0.00000188,0,3.70775495,104052.57,164199.24,36.6303,0,0,0,0,29500,47.5285,,,
2023/03/31,BUY,Base4,20,28497.21,0.211,-0.0422,0.1688,3.70775495,0.00000148,0,3.70775643,105660.88,164199.24,35.6508,0,0,0,0,29500,48.179,,,
2023/04/01,BUY,Base4,20,28481.9,495.5255,-99.1051,396.4204,3.70775643,0.0034768,0.00000278,3.71123322,106099.39,164199.24,35.3837,0,500,495.3568,0,30000,47.5532,,,
2023/04/02,BUY,Base4,20,28215.14,396.4204,-79.2841,317.1363,3.71123322,0.00280774,0.00000225,3.71404096,105109.32,164199.24,35.9867,0,0,0,0,30000,47.0799,,,
2023/04/03,BUY,Base4,20,27815.08,317.1363,-63.4273,253.7091,3.71404096,0.0022785,0.00000182,3.71631945,103623.43,164199.24,36.8916,0,0,0,0,30000,46.39,,,
2023/04/04,BUY,Base4,20,28183.48,253.7091,-50.7418,202.9673,3.71631945,0.00179897,0.00000144,3.71811842,104992.48,164199.24,36.0579,0,0,0,0,30000,46.9343,,,
2023/04/05,BUY,Base4,20,28183.11,202.9673,-40.5935,162.3738,3.71811842,0.00143919,0.00000115,3.71955762,104991.08,164199.24,36.0587,0,0,0,0,30000,46.8862,,,
2023/04/06,BUY,Base4,20,28046.59,162.3738,-32.4748,129.899,3.71955762,0.00115696,0.00000093,3.72071458,104483.26,164199.24,36.368,0,0,0,0,30000,46.6206,,,
2023/04/07,BUY,Base4,20,27923.83,129.899,-25.9798,103.9192,3.72071458,0.00092964,0.00000074,3.72164422,104026.48,164199.24,36.6462,0,0,0,0,30000,46.3769,,,
2023/04/08,BUY,Base4,20,27964.86,103.9192,-20.7838,83.1354,3.72164422,0.00074262,0.00000059,3.72238683,104179.16,164199.24,36.5532,0,0,0,0,30000,46.3959,,,
2023/04/09,BUY,Base4,20,28342.28,83.1354,-16.6271,66.5083,3.72238683,0.00058618,0.00000047,3.72297302,105584.05,164199.24,35.6976,0,0,0,0,30000,46.9501,,,
2023/04/10,BUY,Base4,20,29651.83,66.5083,-13.3017,53.2066,3.72297302,0.00044824,0.00000036,3.72342125,110459.46,164199.24,32.7284,0,0,0,0,30000,48.9437,,,
2023/04/11,BUY,Base4,20,30230.4,53.2066,-10.6413,42.5653,3.72342125,0.00035173,0.00000028,3.72377298,112613.71,164199.24,31.4164,0,0,0,0,30000,49.7749,,,
2023/04/12,BUY,Base4,20,29908.97,42.5653,-8.5131,34.0523,3.72377298,0.0002844,0.00000023,3.72405738,111416.77,164199.24,32.1454,0,0,0,0,30000,49.237,,,
2023/04/13,BUY,Base4,20,30418.12,34.0523,-6.8105,27.2418,3.72405738,0.00022372,0.00000018,3.7242811,113312.87,164199.24,30.9906,0,0,0,0,30000,49.9567,,,
2023/04/14,BUY,Base4,20,30495.99,27.2418,-5.4484,21.7934,3.7242811,0.00017852,0.00000014,3.72445962,113602.88,164199.24,30.814,0,0,0,0,30000,50.0228,,,
2023/04/15,BUY,Base4,20,30326.25,21.7934,-4.3587,17.4348,3.72445962,0.00014361,0.00000011,3.72460323,112970.68,164199.24,31.199,0,0,0,0,30000,49.7175,,,
2023/04/16,BUY,Base4,20,30319.34,17.4348,-3.487,13.9478,3.72460323,0.00011492,0.00000009,3.72471814,112944.94,164199.24,31.2147,0,0,0,0,30000,49.6569,,,
